,이름,제조사,주원료,규격,도수,설명
586,산머루 크라테 드라이,수도산와이너리,산머루,750ml,11.5%,"크라테 드라이는 맑은 공기, 청정환경에서 자란 유기농 산머루와 포도로 정성껏 빚은 한국와인이다. 산포도라고 불리는 산머루는 비록 포도 보다 열매는 작지만 당도가 높기 때문에 강한 향과 중후한 맛을 낸다. 맛과 신맛이 밸런스 있고 뒤에 올라오는 드라이함의 균형이 잘 갖춰진 술로 스테이크, 고기요리, 꼬치구이, 찜요리 등에 잘 어울린다."
587,산머루 크라테 로제,수도산와이너리,산머루,375ml,11.5%,"로제와인에 어울리는 색과 맛, 향을 가진 술이다. 스위트라고 하지만 단맛이 지나치게 강하지 않아 누구나 쉽게 즐길 수 있는 술이며 무겁지 않고 가볍게 한 잔 할 수 있는 와인이다. 첫 맛은 강하지만 여운이 길지 않고 깔끔하다. 약간 단맛이 있는 음식 또는 불고기와 잘 어울린다."
588,시나브로 청수 화이트,불휘농장,청수 100%,750ml,12%,"시나브로 화이트는 우리나라 토종 청포도 품종인 ‘청수’를 수확해 정통 화이트와인 양조방식을 적용해 생산하는 술이다. 아름다운 골드빛을 가진 화이트 와인이다. 첫 향부터 밸런스가 잘 이뤄진 청포도향은 물론 사과향, 복숭아향까지 같이 느껴진다. 맛에서는 입맛을 자극하는 새콤함부터 마지막에 감미로운 느낌을 주는 달콤함과 타닌감 및 오크통에서 나오는 진한 맛보다는 좋은 청포도를 맑은 곳에서 잘 발효시켰다는 이미지다."
589,시나브로 레드 드라이,불휘농장,캠벨얼리,750ml,12%,"시나브로 레드 드라이와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 갬벨얼리로 향조하여 특유하고 풍부한 과일 향과 부드러움을 느낄 수 있는 드라이한 와인이다. 브랜드명 시나브로는 나도 모르는 사이 조금씩이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다. 맑은 포도의 색 자체를 그대로 보여주며 이름 그대로 단맛이 적은 드라이한 맛을 그대로 가지고 있지만, 부드러운 목 넘김을 가지고 있어서 밸런스가 잘 맞는다."
590,오미로제 연,오미나라,오미자,750ml,8%,"친환경 오미자를 샤르망 방식으로 만든 천연탄산의 오미자 스파클링 와인이다. 오미자, 복숭아, 라일락의 꽃향이 풍부하게 느껴진다. 당도가 적고 산도가 높으며 가벼운 바디감을 지니고 있다. 분홍색을 띠고 섬세한 스파클링이 올라온다. 입 안에서 느껴지는 신선한 산미와 탄산의 터치가 조화를 이루는 깔끔한 와인이다."
591,오드린 베베마루 아내를 위한,월류원,캠벨얼리 포도,375ml,10%,"이름 그대로 남편이 아내를 위해 만든 와인으로, 영동 월류봉 자락에서 3대째 재배중인 토착 품종 &quot;캠벨얼리&quot;를 숙성하여 만들었다. 체리와 딸기, 장미, 허브향 등의 향이 풍부하게 느껴지며 후미에 민트향이 깔끔한 맛을 준다. 시그니쳐기술을 이용해 알콜도수를 10도로 낮추고 포도의 풍미는 극대화하여 당도, 탄닌, 바디감이 균형을 이룬다."
592,레돔 시드르,작은알자스,사과,750ml,6%,"은은한 사과향이 묻어나오는 스파클링 사과와인으로, 제조시 설탕이나 효모를 넣지 않고 과일 자연 그대로의 효모로 발효시킨다. 야생효모들이 천천히 발효하며 천연탄산과 사과껍질의 향의 독특함을 만들어낸다. 인위적인 모든 것을 빼고 자연이 주는 그대로의 사과 와인을 느낄 수 있다. 가벼운 바디감과 천연 기포의 청량감이 뛰어나며, 신맛과 단맛 역시 조화롭다."
593,그랑티그르 CE2002,월류원,캠벨얼리 포도,750ml,12%,"""그랑티그르CE2002와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 출시와 동시에 와인품평회에서 좋은 성적을 거둠과 동시에 소비자에게도 호응을 받고 있는 제품이다."
594,그랑티그르 M1988,월류원,"캠벨얼리 포도, 오미자",750ml,12%,"""그랑티그르M1988와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 여기에 오미자를 브랜딩하여 제조사 월류원만의 독창적인 한국와인의 맛을 완성하였다."
595,남산애 레드와인,예인화원,"포도(캠벨얼리, MBA, 산머루)",750ml,14%,"자연주의 수제 와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 알코올 도수는 14도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다. 진한 포도의 맛과 향이 그대로 농축돼있는 와인이다. 조금은 탁하지만 포도의 원액을 그대로 느낄 수 있는 색을 가지고 있으며, 시트러스 계열의 상큼한 산미가 뒤따라 온다. 단맛은 적지만, 목 넘김에서 올라오는 포도향이 기분을 좋게 한다."
596,남산애 포트와인,예인화원,"포도(캠벨얼리, MBA, 산머루)",750ml,18.5%,"수제와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 알코올 도수는 18.5도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다. 진한 포도의 맛과 향이 그대로 농축돼 있는 와인이다. 조금은 탁하지만 포도의 원액을 그대로 느낄 수 있는 색을 가지고 있으며, 시트러스 계열의 상큼한 산미가 뒤따라 온다. 단맛은 적지만, 목 넘김에서 올라오는 포도향이 기분을 좋게 한다."
597,내장산 복분자주 지통1호,내장산 복분자 영농조합,"복분자, 주정, 정제수, 설탕 등",700ml,16%,"내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만, 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 내장산복분자주 지통1호. ""복분자"" 전문가로써, 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳에서 제조된 술이다. 내장산복분자영농조합에서는 청정의 자연을 자랑하는 내장산 일대에서 재배하는 복분자만을 엄선하여 술을 빚고 있으며, 복분자의 특징을 최대한 살려서 한국형와인을 생산하고 있다. 복분자의 전문가들 답게 오직 복분자로 승부를 보는 그들의 방식에서 그 술 맛을 짐작할 수 있다."
598,다래와인 3004,오름주가,참다래,375ml,8%,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산, 스트르산 등의 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. 다래와인 3004는 2015년 대한민국 우리술품평회 과실주 부문에서 장려상을 수상한 제품으로 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다."
599,다래와인 7004D,오름주가,참다래,750ml,12%,다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. &quot;다래와인 7004D&quot;는 참다래를 충분히 발효하여 알코올 함량이 12%로 단맛이 없으며 유기산이 강하게 느껴지고 뒷맛이 깔끔한 특징이 있다. 드라이와인으로 조금 차게해서 마시면 최적의 맛을 느낄 수 있다.
600,다래와인 7004S,오름주가,참다래,750ml,8%,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. &quot;다래와인 7004S&quot;는 참다래의 달콤함과 감미로운 향, 산뜻한 풍미를 지니고 있고 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다."
601,대관령 복분자주,홍지원,국내산 복분자,400ml,16%,"송화향이 절정인 6~7월 백두대간 평창에서 수확한 복분자로 빚은 전통 과실주이다. 평창지역 복분자는 일교차가 큰 기후 특성으로 색상과 향이 진하고 깊은 맛을 지니고 있으며, 전통기법으로 발효. 숙성시킨 “대관령복분자주”에서 온몸에 스며드는 백두대간의 숨결을 느낄 수 있다."
602,도로시 머루주,산머루농원영농조합법인,"국내산 산머루원액 78.5%, 주정",500ml,12%,도로시 머루주는 100% 국내산 산머루로 만들어 전통옹기에서 3년 이상을 숙성한 프리미엄 머루주이다. 돌산을 쪼개에 직접 가꾼 서늘한 지하 속성 터널에서 전통옹기에서 숙성하는데 전통옹기는 용기 자체가 숨을 쉬어 오크통에서 숙성한 와인에 비해 맛과 향이 색다르다. 일교차가 크고 토질이 비옥한 경기도 파주에서 재배한 머루는 당도가 높고 신맛과 단맛이 조화롭다.
603,레돔 내추럴 스파클링 로제와인,작은알자스,포도,750ml,7.5%,"&quot;레돔 내추럴 스파클링 로제와인&quot;은 프랑스 농부가 한국 포도로 만든 와인이다. 내추럴 로제, 말 그대로 가벼운 분홍빛 와인이다. 여기에 천연 발효된 버블이 들어간 것이 스파클링한 맛을 전해준다. 레드와인의 묵직함과는 달리 알코올 도수가 7.5%로 비교적 낮아 신선하고 심플한 맛이 나서 가볍게 마실 수 있는 제품이다. 프랑스 농가의 전통발효기법으로 만들고 여타의 식품 첨가물을 넣지 않은 자연주의 와인이다."
604,마셔블랑,시트러스,"감귤과즙, 백설탕, 액상효모, 무수아황산",750ml,12%,"마셔블랑은 제주산 한라봉을 착즙하여 만든 제주 특산 화이트와인이다. 향긋한 한라봉의 향과 달콤한 맛, 그리고 드라이한 끝 맛이 특징이다. 원료와 효모는 제조사에서 생산하는 혼디주와 동일하나 한라봉을 착즙하여 첨가하여 싱그러움을 더한 제품이다. 저온 장기 발효와 숙성공법으로 만들어져 달콤하고 부드러운 맛과 한라봉 특유의 청량한 느낌의 향이 풍부하다."
605,베베마루 캠벨로제 스위트,월류원,포도(캠벨얼리),375ml,10%,"""베베마루 캠벨로제 스위트""는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인으로 딸기, 장미, 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도, 탄닌, 바디감 등의 균형감이 우수하다는 평가를 받고 있다."
606,베베마루 캠밸로제,월류원,포도(캠벨얼리),375ml,12%,"베베마루 캠벨로제는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인이다. 진한 붉은색을 가진 술이며 산소와의 접촉을 많이 해서 마시는 것이 좋다. 딸기, 장미, 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도, 탄닌, 바디감 등의 균형감이 우수하다는 평가를 받고 있다."
